,TP,TN,FP,FN,TSS,HSS,Accuracy,Precision,Recall,F1-Score
0,24,366,5,23,0.5,0.6,0.93,0.83,0.51,0.63
1,36,359,5,18,0.65,0.73,0.94,0.88,0.67,0.76
2,36,359,6,17,0.66,0.73,0.94,0.86,0.68,0.76
3,37,357,1,23,0.61,0.72,0.94,0.97,0.62,0.76
4,48,349,4,17,0.73,0.79,0.95,0.92,0.74,0.82
5,31,362,0,25,0.55,0.68,0.94,1.0,0.55,0.71
6,39,358,1,20,0.66,0.76,0.95,0.98,0.66,0.79
7,42,355,8,13,0.74,0.77,0.95,0.84,0.76,0.8
8,43,359,3,13,0.76,0.82,0.96,0.93,0.77,0.84
9,28,360,6,23,0.53,0.62,0.93,0.82,0.55,0.66
